"publication_series","publication_date","release_time","synopsis","contact_details","frequency","reason_for_change","publication_id","theme_id","publication_day_released","datestr","epoch"
"Monthly mortality analysis, Scotland, July 2024","2024-08-00","","Routine provisional data on deaths by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-08-01",1722470400000
"Scottish Surveys Core Questions, 2020 and 2021","2023-12-00","Publication Delayed","SSCQ gathers survey responses from identical questions in the Scottish Crime and Justice Survey (SCJS), the Scottish Health Survey (SHeS) and the Scottish Household Survey (SHS). The larger sample size enables the detailed and reliable analysis of national indicators by equalities characteristics and also enables a more detailed analysis of sub-national geographies than source surveys allow.","Jamie Macfarlane
e-mail: sscq@gov.scot","Annual","SSCQ is made up of responses to three individual surveys. The approaches to data collection for each survey were impacted by the Covid-19 pandemic. Bringing together the information has been more challenging and has resulted in a delay. The changes to methods of collection means the SSCQ will not include responses from SCJS in 2020 or 2021. We have provisionally included a publication date of December 2023, however this may be subject to change. We will update users of the finalised publication date when it is confirmed",3002,8005,False,"2023-12-01",1701388800000
"Delayed Discharges in NHS Scotland, September 2023 edition","2023-09-05","09:30","The publication provides a monthly update on the number of hospital bed days associated with delayed discharges for a full calendar month. Information is also provided on the number of people experiencing a delay in discharge from hospital at the monthly census point. The data relate to people aged 18 and over.","Simon Quirk
tel. 01412822013
e-mail: simon.quirk@phs.scot
Zeg Ashraf
tel. 0131 314 1737
e-mail: zeg.ashraf@phs.scot
Peter McClurg
tel. 0131 275 7735
e-mail: peter.mcclurg@phs.scot
Natasha Falconer
tel. 0131 275 6000
e-mail: natasha.falconer3@phs.scot","Monthly","Finalised Publication Date",3000,8001,True,"2023-09-05",1693872000000
"Child and Adolescent Mental Health Services (CAMHS) Waiting Times, September 2023 Release","2023-09-05","09:30","Waiting times for Child and Adolescent Mental Health Services (CAMHS) across Scotland. Progress to the standard of 18 weeks referral to treatment is reported on.","CAMHS
tel. 0131 275 6034
e-mail: phs.camh@phs.scot
Brendan de Moor
tel. 0131 275 1201
e-mail: brendan.demoor2@phs.scot
Joana Bittencourt Silvestre
tel. 0131 275 6169
e-mail: joana.bittencourtsilvestre@phs.scot
Joanne Collins
e-mail: joanne.collins2@phs.scot","Quarterly","Not applicable",3000,8001,True,"2023-09-05",1693872000000
"NHS Waiting Times - Stage of Treatment, September 2023 Release","2023-09-05","09:30","Update of Waiting Times Statistics, Quarterly waiting times statistics for the stage of treatment - Summary of waiting times and waiting lists in the acute sector of NHS Scotland.","Stuart Kerr
tel. 0131 275 6363
e-mail: stuart.kerr2@phs.scot
Primal Chohan
tel. 0131 275 6861
e-mail: primal.chohan@phs.scot
Maggie Champsa
tel. 0131 275 6363
e-mail: maggie.champsa2@phs.scot","Quarterly","Due to the late supply of quality assured data from one Health Board, the Stage of Treatment publication has been delayed.",3000,8001,True,"2023-09-05",1693872000000
"Ophthalmic Workload Statistics, August 2023","2023-09-12","09:30","This publication provides statistics on NHS General Ophthalmic Service eye examinations and voucher claims from 2006/07 to 2022/23 (examples of information provided: sight tests, vouchers claimed, tints and repairs and replacements paid for by NHS boards in Scotland. Data are presented by type of claimant.","Ahmed Mahmoud
tel. 01312757555
e-mail: ahmed.mahmoud2@phs.scot
Claire Clark
tel. 01312756145
e-mail: claire.clark3@phs.scot","Annual","",3000,8001,True,"2023-09-12",1694476800000
"Long Acting Reversible Contraception (LARC) Key Clinical Indicator (KCI), LARC -2023","2023-09-19","09:30","Report on one of the set of?population based key clinical indicators looking at long acting reversible contraception (LARC)","Duncan McMaster
tel. 0141 282 2081
e-mail: duncan.mcmaster@phs.scot","Annual","Finalising publication date",3000,8001,True,"2023-09-19",1695081600000
"National Drug and Alcohol Treatment Waiting Times, Apr-Jun (Q1) 2023/24","2023-09-26","09:30","This data release by Public Health Scotland reports on waiting times for people accessing specialist drug and alcohol treatment services in the latest financial year quarter. In 2011, the Scottish Government set a Standard that 90% of people referred for help with problematic drug or alcohol use will wait no longer than three weeks for specialist treatment that supports their recovery.","Caroline Thomson
tel. 01413001326
e-mail: caroline.thomson5@phs.scot
Nadia Palma
tel. 01413001326
e-mail: nadia.palma2@phs.scot","Quarterly","",3000,8001,True,"2023-09-26",1695686400000
"Cancer Waiting Times, September 2023","2023-09-26","09:30","Quarterly Cancer Waiting Times statistics for the 62-day standard: patients urgently referred with a suspicion of cancer to first cancer treatment; and for the 31-day standard: all patients regardless of the route of referral from date of decision to treat to first cancer treatment by NHS Board, Cancer Network and Cancer Type.","Greig Stanners
tel. 0141 282 2333
e-mail: greig.stanners@phs.scot
Gemma Turner
tel. 0141 282 2333
e-mail: gemma.turner@phs.scot","Quarterly","Not applicable",3000,8001,True,"2023-09-26",1695686400000
"Childhood Immunisation Statistics Scotland, September 2023 Release","2023-09-26","09:30","Childhood immunisation uptake rates by 12 and 24 months of age, and 5 and 6 years of age, for the quarter ending June 2023.","Neil Perkins
tel. 0131 275 6684
e-mail: neil.perkins@phs.scot
Salomi Barkat
tel. 0131 275 7871
e-mail: salomi.barkat@phs.scot","Quarterly","Finalised date",3000,8001,True,"2023-09-26",1695686400000
"Acute Hospital Activity and NHS Beds Information, Annual September 2023 Release","2023-09-26","09:30","Provides a range of statistics relating to acute hospital activity and bed availability.This release will include the first publication of activity within National Treatment Centres (NTCs).","Kirsty Anderson
tel. 0141 282 2243
e-mail: kirsty.anderson8@phs.scot","Annual","Updated to finalised date per Stats Gov email.",3000,8001,True,"2023-09-26",1695686400000
"Delayed Discharges in NHS Scotland, October 2023 edition","2023-10-03","09:30","The publication provides a monthly update on the number of hospital bed days associated with delayed discharges for a full calendar month. Information is also provided on the number of people experiencing a delay in discharge from hospital at the monthly census point. The data relate to people aged 18 and over.","Simon Quirk
tel. 01412822013
e-mail: simon.quirk@phs.scot
Zeg Ashraf
tel. 0131 314 1737
e-mail: zeg.ashraf@phs.scot
Peter McClurg
tel. 0131 275 7735
e-mail: peter.mcclurg@phs.scot
Natasha Falconer
tel. 0131 275 6000
e-mail: natasha.falconer3@phs.scot","Monthly","Finalised Publication Date",3000,8001,True,"2023-10-03",1696291200000
"Unintentional Injuries, October 2023","2023-10-10","09:30","Summary of emergency admissions and for unintentional injuries and falls up to March 2023 and deaths up to 2022.","John Connor
tel. 0141 282 2231
e-mail: john.connor@phs.scot
Sandra Storrie
tel. 0141 282 2242
e-mail: sandra.storrie@phs.scot","Annual","Finalised date",3000,8001,True,"2023-10-10",1696896000000
"Delayed Discharges in NHS Scotland, November 2023 edition","2023-11-07","09:30","The publication provides a monthly update on the number of hospital bed days associated with delayed discharges for a full calendar month. Information is also provided on the number of people experiencing a delay in discharge from hospital at the monthly census point. The data relate to people aged 18 and over.","Simon Quirk
tel. 0141 282 2013
e-mail: simon.quirk@phs.scot
Zeg Ashraf
tel. 0131 314 1737
e-mail: zeg.ashraf@phs.scot
Peter McClurg
tel. 0131 275 7735
e-mail: peter.mcclurg@phs.scot
Natasha Falconer
tel. 0131 275 6000
e-mail: natasha.falconer3@phs.scot","Monthly","Finalised Publication Date",3000,8001,True,"2023-11-07",1699315200000
"Cancer Mortality, October 2023 release","2023-11-07","09:30","Detailed cancer mortality data for 2022 for over 40 cancer sites will be provided following the NRS release of high-level data.","Greig Stanners
tel. 0141 282 2333
e-mail: greig.stanners@phs.scot
Jack Hannah
tel. 0131 282 2333
e-mail: jack.hannah2@phs.scot","Annual","NRS are releasing population estimates slightly later this year which the team need to calculate rates.",3000,8001,True,"2023-11-07",1699315200000
"Infant Feeding Statistics, November 2023 Release","2023-11-07","09:30","Infant feeding rates for financial year 2022/23.","Susanne Brunton
tel. 0131 275 7646
e-mail: susanne.brunton@phs.scot
Samantha Clarke
tel. 0131 275 6149
e-mail: samantha.clarke2@phs.scot","Annual","Finalised date",3000,8001,True,"2023-11-07",1699315200000
"Hospital Standardised Mortality Ratios, November 2023 Release","2023-11-14","09:30","These statistics are updated on a quarterly basis and reflect the HSMR for the latest 12 month reporting period when drawing comparisons against the Scottish average, whilst crude mortality data is presented by quarter to show trends.","Mridula Nair
tel. 0141 300 1124
e-mail: mridula.nair@phs.scot
Isabella Tortora Brayda di Belvedere
tel. 0141 300 1124
e-mail: isabella.tortorabrayda@phs.scot
Peter Menzies
tel. 0141 300 1124
e-mail: peter.menzies@phs.scot","Quarterly","",3000,8001,True,"2023-11-14",1699920000000
"Births in Scotland, November 2023","2023-11-28","09:30","Annual summary of births in Scotland including, for example, trends in caesarean section rates, age of mother for year ending 31 March 2023.","Stuart Wrigglesworth
tel. 0131 275 7128
e-mail: stuart.wrigglesworth@phs.scot","Annual","Finalising publication date",3000,8001,True,"2023-11-28",1701129600000
"HPV Immunisation Statistics Scotland, November 2023 Release","2023-11-28","09:30","HPV immunisation uptake rates for school year 2022/23","Neil Perkins
tel. 0131 275 6684
e-mail: neil.perkins@phs.scot
Salomi Barkat
tel. 0131 275 7871
e-mail: salomi.barkat@phs.scot","Annual","Finalised publication date",3000,8001,True,"2023-11-28",1701129600000
"Acute Hospital Activity and NHS Beds Information, November 2023 Release","2023-11-28","09:30","Provides a range of statistics relating to acute hospital activity and bed availability.","Kirsty Anderson
tel. 0141 282 2243
e-mail: kirsty.anderson8@phs.scot","Quarterly","Updated to finalised date per Stats Gov email.",3000,8001,True,"2023-11-28",1701129600000
"NHS Waiting Times - Diagnostics, November 2023 Release","2023-11-28","09:30","Update of Waiting Times Statistics Quarterly waiting times statistics for Diagnostics - Information on number of patients waiting for a key diagnostic test.","Roisin Farrell
tel. 0131 314 1029
e-mail: roisin.farrell@phs.scot
Maiana Sanjuan
tel. 0141 282 2173
e-mail: maiana.sanjuan@phs.scot
Helen Wilson
tel. 0131 275 6363
e-mail: helen.wilson8@phs.scot","Quarterly","Finalised",3000,8001,True,"2023-11-28",1701129600000
